"Source URL","Target URL","Anchor","Context","Plaats","Source type","Target type","Actie"
"/aankoopmakelaar","/compromis-verkoop-huis","compromis","- Het bod en de [compromis](/compromis-verkoop-huis) opvolgen tot de akte","intro","support","child","houden"
"/aankoopmakelaar","/kosten-vastgoedmakelaar","kosten van een verkoopmakelaar",". Vraag daarom vooraf een offerte en vergelijk, net zoals je de [kosten van een verkoopmakelaar](/kosten-vastgoedmakelaar) zou vergelijken.","einde","support","money","houden"
"/alleenstaande-huis-kopen","/notariskosten-verkoop-huis","notariskosten verkoop huis",". Meer detail vind je op [notariskosten verkoop huis](/notariskosten-verkoop-huis).","midden","support","child","houden"
"/alleenstaande-huis-kopen","/registratierechten/tweede-woning","registratierechten tweede woning",". Zie ook [registratierechten tweede woning](/registratierechten/tweede-woning).","midden","support","child","houden"
"/alleenstaande-huis-kopen","/huis-verkopen-verplichtingen","huis verkopen verplichtingen",". Meer lees je op [huis verkopen verplichtingen](/huis-verkopen-verplichtingen).","midden","support","hub","houden"
"/alleenstaande-huis-kopen","/bieden-op-een-huis","bieden op een huis","Wil je zeker zijn voor je een bod doet, lees dan hoe [bieden op een huis](/bieden-op-een-huis) juridisch werkt en welke [opschortende voorwaarde](/opschortende-voorwaarde) je kan opnemen.","midden","support","child","houden"
"/alleenstaande-huis-kopen","/opschortende-voorwaarde","opschortende voorwaarde","Wil je zeker zijn voor je een bod doet, lees dan hoe [bieden op een huis](/bieden-op-een-huis) juridisch werkt en welke [opschortende voorwaarde](/opschortende-voorwaarde) je kan opnemen.","midden","support","child","houden"
"/alleenstaande-huis-kopen","/kosten-vastgoedmakelaar","kosten van een vastgoedmakelaar",". Meer over de [kosten van een vastgoedmakelaar](/kosten-vastgoedmakelaar).","einde","support","money","houden"
"/appartement-verkopen","/huis-laten-schatten","schatten",". Laat het appartement [schatten](/huis-laten-schatten) en bepaal een realistische vraagprijs.","intro","money","money","houden"
"/appartement-verkopen","/woning-verkopen","een woning verkopen","Dit is een appartementspecifieke aanvulling op het algemene stappenplan voor [een woning verkopen](/woning-verkopen).","intro","money","money","houden"
"/appartement-verkopen","/huis-verkopen-verplichtingen","verplichtingen voor woningverkoop","Een volledig overzicht van de algemene attesten staat bij de [verplichtingen voor woningverkoop](/huis-verkopen-verplichtingen).","midden","money","hub","houden"
"/appartement-verkopen","/asbestattest/appartement","asbestattest voor het appartement","Bij een gebouw met bouwjaar 2000 of vroeger kan een [asbestattest voor het appartement](/asbestattest/appartement) verplicht zijn.","midden","money","child","houden"
"/appartement-verkopen","/syndicus","syndicus","De [syndicus](/syndicus) beheert de gemeenschappelijke delen en fondsen namens de VME.","midden","money","child","houden"
"/appartement-verkopen","/compromis-verkoop-huis","verkoopcompromis","Laat een bod of [verkoopcompromis](/compromis-verkoop-huis) vóór ondertekening controleren.","midden","money","child","houden"
"/appartement-verkopen","/kosten-verkoop-huis","kosten bij woningverkoop",". De pagina over [kosten bij woningverkoop](/kosten-verkoop-huis) bundelt de algemene posten.","midden","money","child","houden"
"/appartement-verkopen","/kosten-vastgoedmakelaar","kosten van een vastgoedmakelaar",". Voor makelaarsvoorstellen helpt het overzicht van de [kosten van een vastgoedmakelaar](/kosten-vastgoedmakelaar) om percentage, vast bedrag en inbegrepen diensten op dezelfde basis te beoordelen.","midden","money","money","houden"
