"url","group","technicalStatus","releaseStatus","reasons","wordsRendered","h1Count","canonical","schemaTypes","contentWords","intent","type","sourceLinks","bodySourceLinks","mutableClaimParagraphs","internalBodyLinks","informationGain","localEvidenceScreen","conversionMechanisms","gscClicksCurrent","gscClicksPrevious","gscImpressionsCurrent","gscImpressionsPrevious","gscCtrCurrent","gscCtrPrevious","gscPositionCurrent","gscPositionPrevious","retrievalStatus","sectionCount","weakDirectAnswers","ambiguousOpeners","mutableSections","mutableSectionsWithoutInlineSource","entityInIntro","hasSilo","relatedCount","topicalBridgeStatus","newPdfReasons","migrationDisposition","redirectTarget","noindex","sourceNote","targetDomain"
"/","homepage","PASS","PASS","","1217","1","https://www.vastgoedmakelaarzoeken.be","Organization | ContactPoint | AdministrativeArea | WebSite | FAQPage | Question | Answer","","","","","","","","","","","0","0","18","58","0","0","70.83","44.26","NOT_APPLICABLE","","","","","","","","","PASS","","SAME_PATH_READY","","false","","https://www.vastgoedmakelaarzoeken.com"
"/kennisbank","sitepagina","PASS","PASS","","1388","1","https://www.vastgoedmakelaarzoeken.be/kennisbank","Organization | ContactPoint | AdministrativeArea | WebSite | BreadcrumbList | ListItem","","","","","","","","","","","0","0","0","3","0","0","0","7.669999999999999","NOT_APPLICABLE","","","","","","","","","PASS","","SAME_PATH_READY","","false","","https://www.vastgoedmakelaarzoeken.com"
"/werkwijze","sitepagina","PASS","PASS","","607","1","https://www.vastgoedmakelaarzoeken.be/werkwijze","Organization | ContactPoint | AdministrativeArea | WebSite | AboutPage | Thing | BreadcrumbList | ListItem","","","","","","","","","","","0","0","0","0","0","0","","","NOT_APPLICABLE","","","","","","","","","PASS","","SAME_PATH_READY","","false","","https://www.vastgoedmakelaarzoeken.com"
"/aankoopmakelaar","kennisbank","PASS","PASS","","1465","1","https://www.vastgoedmakelaarzoeken.be/aankoopmakelaar","Organization | ContactPoint | AdministrativeArea | WebSite | Article | Thing | BreadcrumbList | ListItem | FAQPage | Question | Answer","680","informational","Article","1","0","2","2","2","","1","0","0","0","0","0","0","","","PASS","5","0","0","1","1","true","false","3","PASS","","SAME_PATH_READY","","false","false","https://www.vastgoedmakelaarzoeken.com"
"/akte-verlijden","kennisbank","PASS","PASS","","2482","1","https://www.vastgoedmakelaarzoeken.be/akte-verlijden","Organization | ContactPoint | AdministrativeArea | WebSite | Article | Thing | BreadcrumbList | ListItem | FAQPage | Question | Answer","1808","informational","Article","7","6","7","0","3","","1","0","2","4","302","0","0.006622516556291391","3","7.85","PASS","14","1","0","5","4","true","false","3","PASS","","SAME_PATH_READY","","false","false","https://www.vastgoedmakelaarzoeken.com"
"/alleenstaande-huis-kopen","kennisbank","PASS","PASS","","2037","1","https://www.vastgoedmakelaarzoeken.be/alleenstaande-huis-kopen","Organization | ContactPoint | AdministrativeArea | WebSite | Article | Thing | BreadcrumbList | ListItem | FAQPage | Question | Answer","1320","informational","Article","1","0","8","6","5","","1","0","0","0","1","0","0","0","15","PASS","10","2","0","3","3","true","false","3","PASS","","SAME_PATH_READY","","false","true","https://www.vastgoedmakelaarzoeken.com"
"/appartement-verkopen","kennisbank","PASS","PASS","","2963","1","https://www.vastgoedmakelaarzoeken.be/appartement-verkopen","Organization | ContactPoint | AdministrativeArea | WebSite | Service | Thing | Country | BreadcrumbList | ListItem | FAQPage | Question | Answer","2162","core","Service","7","6","7","10","4","","1","0","0","28","94","0","0","76.46","39.64","PASS","13","1","0","4","4","true","false","6","PASS","","SAME_PATH_READY","","false","false","https://www.vastgoedmakelaarzoeken.com"
"/asbestattest","kennisbank","PASS","PASS","","5655","1","https://www.vastgoedmakelaarzoeken.be/asbestattest","Organization | ContactPoint | AdministrativeArea | WebSite | Article | Thing | Service | Country | BreadcrumbList | ListItem | FAQPage | Question | Answer","4391","core","Article","15","14","25","14","5","","1","0","0","0","1","0","0","0","2","PASS","17","0","0","12","5","true","true","6","PASS","","SAME_PATH_READY","","false","false","https://www.vastgoedmakelaarzoeken.com"
"/asbestattest/antwerpen","kennisbank","PASS","CONSOLIDATED","301 naar /asbestattest; noindex; uitgesloten uit sitemap","1546","1","https://www.vastgoedmakelaarzoeken.be/asbestattest/antwerpen","Organization | ContactPoint | AdministrativeArea | WebSite | WebPage | Thing | BreadcrumbList | ListItem | FAQPage | Question | Answer","950","local","WebPage","1","0","8","3","4","4","not_applicable","0","0","0","0","0","0","","","PASS","10","0","0","3","3","true","true","3","not_applicable","inhoudelijke eigenaar gekozen","REDIRECT_READY","/asbestattest","true","false","https://www.vastgoedmakelaarzoeken.com"
"/asbestattest/appartement","kennisbank","PASS","PASS","","2063","1","https://www.vastgoedmakelaarzoeken.be/asbestattest/appartement","Organization | ContactPoint | AdministrativeArea | WebSite | Article | Thing | BreadcrumbList | ListItem | FAQPage | Question | Answer","1412","informational","Article","1","0","12","3","5","","1","0","0","0","0","0","0","","","PASS","11","1","0","6","6","true","true","3","PASS","","SAME_PATH_READY","","false","true","https://www.vastgoedmakelaarzoeken.com"
